# Unity (10 data points):
# Unity Count
0.05 62 
0.15 123 
0.25 182 
0.35 129 
0.45 114 
0.55 122 
0.65 40 
0.75 44 
0.85 71 
0.95 113 
# Unity (10 data points):
# Unity Count
0.05 60 
0.15 135 
0.25 160 
0.35 138 
0.45 122 
0.55 117 
0.65 45 
0.75 38 
0.85 71 
0.95 114 
# Unity (10 data points):
# Unity Count
0.05 69 
0.15 110 
0.25 197 
0.35 125 
0.45 96 
0.55 146 
0.65 42 
0.75 31 
0.85 69 
0.95 115 
# Unity (10 data points):
# Unity Count
0.05 52 
0.15 138 
0.25 172 
0.35 137 
0.45 110 
0.55 134 
0.65 34 
0.75 39 
0.85 70 
0.95 114 
# Unity (10 data points):
# Unity Count
0.05 57 
0.15 131 
0.25 166 
0.35 149 
0.45 125 
0.55 114 
0.65 36 
0.75 37 
0.85 75 
0.95 110 
# Unity (10 data points):
# Unity Count
0.05 56 
0.15 126 
0.25 193 
0.35 128 
0.45 114 
0.55 122 
0.65 46 
0.75 28 
0.85 74 
0.95 113 
# Unity (10 data points):
# Unity Count
0.05 59 
0.15 114 
0.25 188 
0.35 143 
0.45 115 
0.55 123 
0.65 38 
0.75 30 
0.85 78 
0.95 112 
# Unity (10 data points):
# Unity Count
0.05 58 
0.15 121 
0.25 198 
0.35 123 
0.45 123 
0.55 120 
0.65 42 
0.75 29 
0.85 72 
0.95 114 
# Unity (10 data points):
# Unity Count
0.05 58 
0.15 123 
0.25 195 
0.35 130 
0.45 93 
0.55 139 
0.65 52 
0.75 33 
0.85 57 
0.95 120 
# Unity (10 data points):
# Unity Count
0.05 51 
0.15 124 
0.25 171 
0.35 165 
0.45 109 
0.55 119 
0.65 48 
0.75 27 
0.85 76 
0.95 110 
# Unity (10 data points):
# Unity Count
0.05 69 
0.15 124 
0.25 156 
0.35 130 
0.45 133 
0.55 125 
0.65 50 
0.75 39 
0.85 62 
0.95 112 
# Unity (10 data points):
# Unity Count
0.05 62 
0.15 125 
0.25 183 
0.35 117 
0.45 127 
0.55 129 
0.65 33 
0.75 33 
0.85 89 
0.95 102 
# Unity (10 data points):
# Unity Count
0.05 57 
0.15 125 
0.25 175 
0.35 151 
0.45 113 
0.55 121 
0.65 42 
0.75 30 
0.85 77 
0.95 109 
# Unity (10 data points):
# Unity Count
0.05 58 
0.15 109 
0.25 206 
0.35 132 
0.45 118 
0.55 116 
0.65 45 
0.75 34 
0.85 72 
0.95 110 
# Unity (10 data points):
# Unity Count
0.05 49 
0.15 130 
0.25 184 
0.35 145 
