# Unity (10 data points):
# Unity Count
0.05 144 
0.15 178 
0.25 163 
0.35 81 
0.45 66 
0.55 59 
0.65 28 
0.75 36 
0.85 85 
0.95 160 
# Unity (10 data points):
# Unity Count
0.05 156 
0.15 177 
0.25 139 
0.35 86 
0.45 77 
0.55 59 
0.65 27 
0.75 37 
0.85 93 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 134 
0.15 192 
0.25 159 
0.35 97 
0.45 56 
0.55 56 
0.65 31 
0.75 20 
0.85 97 
0.95 158 
# Unity (10 data points):
# Unity Count
0.05 152 
0.15 176 
0.25 143 
0.35 104 
0.45 54 
0.55 62 
0.65 33 
0.75 30 
0.85 93 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 159 
0.15 164 
0.25 160 
0.35 94 
0.45 63 
0.55 55 
0.65 33 
0.75 27 
0.85 77 
0.95 168 
# Unity (10 data points):
# Unity Count
0.05 134 
0.15 207 
0.25 156 
0.35 76 
0.45 62 
0.55 53 
0.65 28 
0.75 31 
0.85 106 
0.95 147 
# Unity (10 data points):
# Unity Count
0.05 146 
0.15 175 
0.25 169 
0.35 91 
0.45 52 
0.55 55 
0.65 32 
0.75 29 
0.85 91 
0.95 160 
# Unity (10 data points):
# Unity Count
0.05 155 
0.15 164 
0.25 156 
0.35 95 
0.45 62 
0.55 59 
0.65 25 
0.75 28 
0.85 89 
0.95 167 
# Unity (10 data points):
# Unity Count
0.05 157 
0.15 168 
0.25 145 
0.35 92 
0.45 62 
0.55 67 
0.65 35 
0.75 29 
0.85 89 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 150 
0.15 173 
0.25 163 
0.35 78 
0.45 69 
0.55 58 
0.65 28 
0.75 35 
0.85 90 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 154 
0.15 169 
0.25 162 
0.35 79 
0.45 65 
0.55 59 
0.65 36 
0.75 33 
0.85 90 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 139 
0.15 178 
0.25 163 
0.35 110 
0.45 42 
0.55 62 
0.65 33 
0.75 27 
0.85 85 
0.95 161 
# Unity (10 data points):
# Unity Count
0.05 144 
0.15 173 
0.25 171 
0.35 73 
0.45 64 
0.55 74 
0.65 27 
0.75 29 
0.85 93 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 139 
0.15 172 
0.25 174 
0.35 79 
0.45 68 
0.55 62 
0.65 29 
0.75 24 
0.85 103 
0.95 150 
# Unity (10 data points):
# Unity Count
0.05 144 
0.15 171 
0.25 179 
0.35 71 
0.45 49 
0.55 74 
0.65 32 
0.75 30 
0.85 93 
0.95 157 
# Unity (10 data points):
# Unity Count
0.05 149 
0.15 184 
0.25 151 
0.35 79 
0.45 61 
0.55 74 
0.65 24 
0.75 27 
0.85 102 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 145 
0.15 188 
0.25 142 
0.35 100 
0.45 56 
0.55 65 
0.65 30 
0.75 22 
0.85 92 
0.95 160 
# Unity (10 data points):
# Unity Count
0.05 150 
0.15 175 
0.25 151 
0.35 83 
0.45 61 
0.55 71 
0.65 38 
0.75 28 
0.85 94 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 132 
0.15 199 
0.25 142 
0.35 89 
0.45 59 
0.55 73 
0.65 31 
0.75 28 
0.85 93 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 128 
0.15 182 
0.25 164 
0.35 99 
0.45 68 
0.55 54 
0.65 31 
0.75 28 
0.85 78 
0.95 168 
# Unity (10 data points):
# Unity Count
0.05 129 
0.15 184 
0.25 173 
0.35 76 
0.45 58 
0.55 77 
0.65 34 
0.75 25 
0.85 90 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 145 
0.15 174 
0.25 176 
0.35 82 
0.45 54 
0.55 63 
0.65 30 
0.75 27 
0.85 86 
0.95 163 
# Unity (10 data points):
# Unity Count
0.05 137 
0.15 189 
0.25 154 
0.35 78 
0.45 69 
0.55 70 
0.65 25 
0.75 31 
0.85 85 
0.95 162 
# Unity (10 data points):
# Unity Count
0.05 151 
0.15 184 
0.25 156 
0.35 81 
0.45 38 
0.55 71 
0.65 41 
0.75 31 
0.85 100 
0.95 147 
# Unity (10 data points):
# Unity Count
0.05 135 
0.15 191 
0.25 154 
0.35 77 
0.45 69 
0.55 62 
0.65 34 
0.75 29 
0.85 111 
0.95 138 
# Unity (10 data points):
# Unity Count
0.05 134 
0.15 190 
0.25 168 
0.35 76 
0.45 54 
0.55 72 
0.65 36 
0.75 29 
0.85 87 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 135 
0.15 169 
0.25 188 
0.35 76 
0.45 68 
0.55 60 
0.65 26 
0.75 28 
0.85 80 
0.95 170 
# Unity (10 data points):
# Unity Count
0.05 140 
0.15 182 
0.25 169 
0.35 71 
0.45 65 
0.55 58 
0.65 38 
0.75 28 
0.85 106 
0.95 143 
# Unity (10 data points):
# Unity Count
0.05 129 
0.15 201 
0.25 155 
0.35 84 
0.45 54 
0.55 69 
0.65 30 
0.75 27 
0.85 98 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 145 
0.15 180 
0.25 162 
0.35 74 
0.45 66 
0.55 69 
0.65 26 
0.75 35 
0.85 91 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 136 
0.15 176 
0.25 177 
0.35 86 
0.45 56 
0.55 60 
0.65 33 
0.75 35 
0.85 78 
0.95 163 
# Unity (10 data points):
# Unity Count
0.05 151 
0.15 179 
0.25 159 
0.35 87 
0.45 46 
0.55 67 
0.65 36 
0.75 31 
0.85 85 
0.95 159 
# Unity (10 data points):
# Unity Count
0.05 151 
0.15 171 
0.25 158 
0.35 93 
0.45 51 
0.55 73 
0.65 30 
0.75 26 
0.85 84 
0.95 163 
# Unity (10 data points):
# Unity Count
0.05 151 
0.15 183 
0.25 140 
0.35 94 
0.45 59 
0.55 60 
0.65 42 
0.75 31 
0.85 91 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 146 
0.15 176 
0.25 168 
0.35 87 
0.45 48 
0.55 58 
0.65 33 
0.75 34 
0.85 91 
0.95 159 
# Unity (10 data points):
# Unity Count
0.05 148 
0.15 181 
0.25 150 
0.35 86 
0.45 57 
0.55 66 
0.65 40 
0.75 25 
0.85 84 
0.95 163 
# Unity (10 data points):
# Unity Count
0.05 132 
0.15 189 
0.25 179 
0.35 69 
0.45 61 
0.55 57 
0.65 33 
0.75 33 
0.85 91 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 140 
0.15 171 
0.25 190 
0.35 72 
0.45 59 
0.55 58 
0.65 33 
0.75 21 
0.85 105 
0.95 151 
# Unity (10 data points):
# Unity Count
0.05 134 
0.15 166 
0.25 174 
0.35 106 
0.45 51 
0.55 64 
0.65 31 
0.75 27 
0.85 91 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 143 
0.15 169 
0.25 186 
0.35 73 
0.45 56 
0.55 56 
0.65 39 
0.75 36 
0.85 90 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 152 
0.15 168 
0.25 166 
0.35 99 
0.45 43 
0.55 59 
0.65 35 
0.75 37 
0.85 88 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 144 
0.15 175 
0.25 169 
0.35 84 
0.45 62 
0.55 60 
0.65 23 
0.75 33 
0.85 97 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 129 
0.15 196 
0.25 171 
0.35 76 
0.45 57 
0.55 63 
0.65 29 
0.75 33 
0.85 82 
0.95 164 
# Unity (10 data points):
# Unity Count
0.05 146 
0.15 177 
0.25 162 
0.35 90 
0.45 63 
0.55 54 
0.65 27 
0.75 36 
0.85 87 
0.95 158 
# Unity (10 data points):
# Unity Count
0.05 137 
0.15 187 
0.25 163 
0.35 93 
0.45 50 
0.55 53 
0.65 38 
0.75 33 
0.85 96 
0.95 150 
# Unity (10 data points):
# Unity Count
0.05 145 
0.15 157 
0.25 196 
0.35 78 
0.45 53 
0.55 57 
0.65 41 
0.75 20 
0.85 98 
0.95 155 
# Unity (10 data points):
# Unity Count
0.05 140 
0.15 189 
0.25 164 
0.35 87 
0.45 59 
0.55 50 
0.65 32 
0.75 31 
0.85 92 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 152 
0.15 169 
0.25 158 
0.35 94 
0.45 63 
0.55 53 
0.65 27 
0.75 33 
0.85 99 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 136 
0.15 187 
0.25 183 
0.35 74 
0.45 52 
0.55 49 
0.65 35 
0.75 29 
0.85 104 
0.95 151 
# Unity (10 data points):
# Unity Count
0.05 158 
0.15 177 
0.25 161 
0.35 74 
0.45 61 
0.55 53 
0.65 25 
0.75 40 
0.85 99 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 145 
0.15 190 
0.25 161 
0.35 77 
0.45 53 
0.55 60 
0.65 25 
0.75 42 
0.85 90 
0.95 157 
# Unity (10 data points):
# Unity Count
0.05 153 
0.15 182 
0.25 144 
0.35 101 
0.45 49 
0.55 57 
0.65 36 
0.75 29 
0.85 100 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 146 
0.15 179 
0.25 160 
0.35 86 
0.45 51 
0.55 61 
0.65 32 
0.75 37 
0.85 83 
0.95 165 
# Unity (10 data points):
# Unity Count
0.05 157 
0.15 174 
0.25 158 
0.35 82 
0.45 60 
0.55 55 
0.65 28 
0.75 36 
0.85 99 
0.95 151 
# Unity (10 data points):
# Unity Count
0.05 146 
0.15 169 
0.25 176 
0.35 81 
0.45 56 
0.55 63 
0.65 36 
0.75 28 
0.85 102 
0.95 143 
# Unity (10 data points):
# Unity Count
0.05 149 
0.15 172 
0.25 161 
