1.544720208718267929e-01,8.578163254674930904e-02
1.589323609702066598e-01,2.360266315962509243e-01
1.618349106461673126e-01,4.659428319765839266e-01
1.637921345102325565e-01,7.057145529367740977e-01
1.656561572379136871e-01,9.710554916251104007e-01
1.670541742836745280e-01,1.195389194334341099e+00
1.684521913294354245e-01,1.387158327295456406e+00
1.693842026932759759e-01,1.560836032618731384e+00
1.703162140571165273e-01,1.752605165579848023e+00
1.712482254209571064e-01,1.962465726178804992e+00
1.721802367847976856e-01,2.172326286777761517e+00
1.741374606488629018e-01,2.437184787395754615e+00
1.749762708763193952e-01,2.660794832999472170e+00
1.768402936040005813e-01,2.915280915105104675e+00
1.787043163316816841e-01,3.187858424848579730e+00
1.805683390593628423e-01,3.458023744240338537e+00
1.825255629234280308e-01,3.722399806787990428e+00
1.852283958785657103e-01,3.913927720713935798e+00
1.875584242881671304e-01,4.032125047947831220e+00
1.938495009940910119e-01,3.847592486041852666e+00
1.959465265627322872e-01,3.692006208356418462e+00
1.983697561087177930e-01,3.508197303555951940e+00
2.009793879274713868e-01,3.302678685590076491e+00
2.024706061096163134e-01,3.110668333593788581e+00
2.034026174734568371e-01,2.910456534401680617e+00
2.068413391557495928e-01,2.670886075949367111e+00
2.094606913384206015e-01,2.382186847376718486e+00
2.099266970203408911e-01,2.208509142053444396e+00
2.121635242935582533e-01,1.994306638821406352e+00
2.141207481576234695e-01,1.799642877438234922e+00
2.159847708853046000e-01,1.644056599752800274e+00
2.183147992949060479e-01,1.463142323374389431e+00
2.211108333864277575e-01,1.260518333830567883e+00
2.239068674779494672e-01,1.062718724990169950e+00
2.267029015694712046e-01,8.842166389634715795e-01
2.301979441838733487e-01,7.213937902229017318e-01
2.330405788435870873e-01,6.048849962352060849e-01
2.383530436174783329e-01,4.620833274138447244e-01
2.439451118005218355e-01,2.980543834974196393e-01
2.495371799835652549e-01,1.967423887255090875e-01
2.551292481666087020e-01,1.436742009878406723e-01
2.607213163496520658e-01,9.543039395359853572e-02
2.663133845326955962e-01,7.130849043647602414e-02
2.719054527157390155e-01,6.165972902962923996e-02
2.774975208987824349e-01,5.201096762277934715e-02
2.830895890818259097e-01,5.201096762277934715e-02
2.886816572648693291e-01,5.201096762277934715e-02
2.942737254479127484e-01,5.924753867791587858e-02
2.998657936309562233e-01,7.130849043647669028e-02
3.054578618139995871e-01,9.060601325017425545e-02
3.110499299970430620e-01,1.388498202844175022e-01
3.166419981800865369e-01,2.184521018909180157e-01
3.222340663631300117e-01,3.101153352559780085e-01
3.278261345461733201e-01,4.500223756552854670e-01
3.329521970472965609e-01,5.962011109690401600e-01
3.376122538664994011e-01,7.669841878702643445e-01
3.422723106857023523e-01,9.493457784597001403e-01
3.464663618229848474e-01,1.115786912727839919e+00
3.501944072783471640e-01,1.271373190413271903e+00
3.539224527337094250e-01,1.423341182571137509e+00
3.581165038709919757e-01,1.591953288155820267e+00
3.632425663721151055e-01,1.774314878745256507e+00
3.669706118274774775e-01,1.882863444572303813e+00
3.744267027382020552e-01,2.034831436730167642e+00
3.800187709212454745e-01,2.037243627081881669e+00
3.851448334223686598e-01,1.991412010399352006e+00
3.944649470607743402e-01,1.754052479790872976e+00
3.991250038799772915e-01,1.571690889201436292e+00
4.033190550172597311e-01,1.394394898350591383e+00
4.070471004726221032e-01,1.231572049610022201e+00
4.112411516099046538e-01,1.050657773231610026e+00
4.159012084291076050e-01,8.654015542201187738e-01
4.205612652483103897e-01,6.946184773188979200e-01
4.256873277494335750e-01,5.368612283169225119e-01
4.312793959324769943e-01,4.114273300278901146e-01
4.368714641155204137e-01,3.414738098282390499e-01
4.424635322985638886e-01,3.125275256076924801e-01
4.480556004816073079e-01,3.342372387731009642e-01
4.536476686646507273e-01,4.017785686210426643e-01
4.592397368476942576e-01,5.151515151515131397e-01
4.648318050307376215e-01,6.405854134405475353e-01
4.704238732137810408e-01,7.804924538398472222e-01
4.760159413968245157e-01,9.493457784597021387e-01
4.816080095798679350e-01,1.084428438155581098e+00
4.858020607171504857e-01,1.166442910113795417e+00
4.946561686736360430e-01,1.236396430313444483e+00
5.002482368566792958e-01,1.205037955741189215e+00
5.053742993578025366e-01,1.169337538535848875e+00
5.142284073142879830e-01,9.975895854939416107e-01
5.198204754973314579e-01,8.793922582600492976e-01
5.254125436803748217e-01,7.732558827847111349e-01
5.310046118634182966e-01,6.622951266059555753e-01
5.365966800464617714e-01,5.851050353511628721e-01
5.421887482295050242e-01,5.537465607789082700e-01
5.477808164125486101e-01,5.537465607789107125e-01
5.533728845955919740e-01,5.875172257028784539e-01
5.589649527786353378e-01,6.502341748473925431e-01
5.645570209616789237e-01,7.274242661021841361e-01
5.701490891447223985e-01,8.239118801706672990e-01
5.757411573277657624e-01,9.228116845908695964e-01
5.808672198288890032e-01,1.010132975322848292e+00
5.906533391492149176e-01,1.106138151320987806e+00
5.962454073322583925e-01,1.123023483782974896e+00
6.013714698333815223e-01,1.094077199562431435e+00
6.102255777898669686e-01,1.028948060066199766e+00
6.158176459729104435e-01,9.782920626802447117e-01
6.214097141559540294e-01,9.203994942391551248e-01
6.270017823389972822e-01,8.697434968532007371e-01
6.325938505220407571e-01,8.625069257980630955e-01
6.381859187050841209e-01,8.745678775566214647e-01
6.437779868881275958e-01,9.179873038874397650e-01
6.493700550711710706e-01,9.807042530319605156e-01
6.549621232542146565e-01,1.069955296045308479e+00
6.605541914372579093e-01,1.151969768003522798e+00
6.647482425745405710e-01,1.209862336444614161e+00
6.726703391671854382e-01,1.277403666292553197e+00
6.782624073502288020e-01,1.296701189106250762e+00
6.838544755332723879e-01,1.270167095237419996e+00
