# time(ps) MSD_C MSD_Si
0 3.7101497835075645946e-24 5.3800376844945426483e-25
0.5 4.8356454678828333371 4.8348834591546721029
1 4.8350762603553860686 4.8322088154674824878
1.5 4.8299604791342982679 4.8180971445563214317
2 4.879155441544322791 4.8396443965359239314
2.5 4.8592616995897017773 4.8004208502881935416
3 4.9521057989009964473 4.8659618790990117887
3.5 4.9897465493631498745 4.8516632418613880873
4 5.0211284573314394208 4.8395410430461893725
4.5 5.1764252097821561449 4.9326489165889553234
5 5.1630821378686357903 4.8787677105088533835
5 5.1630821378686366785 4.8787677105088613771
5.5 5.2703560167177734286 4.9180805070450244187
6 5.4985947901138674254 5.0388015183848988698
6.5 5.6090608978470202217 5.0222724677967276463
7 6.0415265870242960133 5.2877157794466027596
7.5 6.5209821622910064676 5.533124663233931706
8 7.1940593817457454406 5.939938149239567089
8.5 9.2251523813766915794 7.2805453341165238257
9 14.815906317584355278 11.201072162734790894
9.5 26.339170937634310832 19.510809631074010895
10 39.105847914875305094 29.14245817562454377
10.5 52.484638010900873439 39.268550023022562812
11 65.60740282968041015 49.102874146193293825
11.5 79.096969416883581516 59.421420306742120943
12 92.775365039973422654 69.511578495278527612
12.5 106.0540250271541538 79.828354500172821417
13 119.54868249160817584 90.080251568629734038
13.5 132.956754253433445 100.29845338386084563
14 146.76470090141685887 110.37941560578819633
14.5 160.61433187367410369 120.62653675866594938
15 173.60719206973283235 130.65191599925421428
15.5 186.28454913232806689 140.85888458720592098
16 199.33187926269238233 151.02304032675183976
16.5 212.5181906833853418 161.62671642765982938
17 226.02488070519606822 171.49541335963382949
17.5 239.72711673507663477 181.29513769511180499
18 252.70265658417878285 191.68774273886478454
18.5 265.99903656092226356 201.6168113471687775
19 278.77405568169240269 211.61924700702948599
19.5 292.2690569951810744 221.60882497630655052
20 305.00961519215263706 231.42456273127996269
20.5 318.4398750415313657 241.43504442196712034
21 331.16879867931731951 251.73591771074151779
21.5 344.4123785158726605 262.36456241314078852
22 358.03601051039680669 272.68947947280264543
22.5 371.30421511792428646 283.02928352036809656
23 385.30905315308672243 292.89442789557273272
23.5 397.60306075235797607 303.27437799244938788
24 410.91059569399402562 313.88543413120873993
24.5 424.82449639168004296 324.57001171069930479
25 437.87355229216115049 335.55690395764264622
25.5 452.02697636284727878 345.59845587080968699
26 465.50933219598863388 355.55175811976658906
26.5 478.9317318028435011 365.17511550937450693
27 494.21123966027516872 375.56699304309114495
27.5 507.90541602214284467 386.0966128565507347
28 521.45670206139141101 396.16833401139876969
28.5 534.07007658025963792 406.32000273874581353
29 547.40993546710990358 415.82620437627338106
29.5 560.67023242953905537 426.34509854095927039
