# time(ps) MSD_C MSD_Si
0 3.7101497835075645946e-24 5.3800376844945426483e-25
0.5 0.3214775719854037761 0.32159669883826785819
1 1.1375839293944567387 1.036995482477318653
1.5 2.7042529185152117677 2.026923574745078227
2 13.584646909567970496 10.054620217364684365
2.5 37.473568100062749409 30.108176197113653672
3 59.602150639542834654 49.778458097424000073
3.5 81.539411520437241165 69.326050968441322198
4 102.77909602867863725 88.373657603365614932
4.5 123.56262691112388552 107.13503602747054799
5 144.88536708326833491 126.37047114383835833
5 144.88536708326901703 126.37047114384031943
5.5 166.08237868602668641 145.75623112711122076
6 187.33613371508013756 164.68969790192304004
6.5 209.63657994050583966 184.464252962120554
7 230.32704777735952462 203.09103211893361163
7.5 252.1985109907725473 223.34041836818749971
8 274.04879523003978647 243.59282294050609607
8.5 294.57259876774514851 262.33639595452700632
9 316.23968498391650428 281.29564585880768846
9.5 337.00509350952802379 300.12664240665964144
10 359.04297736421693799 320.18578760549587514
10.5 380.95204872922397499 340.96410902644208818
11 402.14971630568390992 360.28494683795872788
11.5 424.65071318003617762 380.74090014232768908
12 446.49738653281241341 401.11586535976323376
12.5 467.50759056815104486 420.03958059699033356
13 487.3726179768953557 439.88522662072523417
13.5 507.75055949353583173 459.52487455217453771
14 530.12432432687444361 479.41245004369625349
14.5 550.71240225146050307 498.5037972359490368
15 572.56092377181596476 518.1163446281062761
15.5 595.27364393441109769 537.43654875346032895
16 616.82603822955536543 556.74023545794932488
16.5 638.6302470847153927 576.70825649398489077
17 661.97469880144103627 596.77712907764498595
17.5 683.51784314925475883 615.49832979328107285
18 705.1147435487077928 635.20392707914311359
18.5 727.60969976969420259 655.63185299750784907
19 749.15145717157520266 676.24601558134884272
19.5 771.40784937326679938 696.28949460676108174
20 791.95421221014487401 716.46711533879738454
20.5 815.28879941142383814 736.64425355029061393
21 837.22945185447269978 756.87864552852170164
21.5 860.70779002120605128 778.87183187910090965
22 883.09084593139823482 798.92398216436129132
22.5 904.20268537274932896 817.59072518939501606
23 925.33863179747368122 837.42117407526745865
23.5 945.97752890967888106 856.30357649788402341
24 969.93403703932551707 877.7174916835467684
24.5 991.59919477501227902 897.90665171654541155
25 1015.9084091808118728 919.42916353581267686
25.5 1037.1966212476131659 939.29303554201067072
26 1058.4250959301753028 957.73506992390980486
26.5 1081.4257317372148464 977.05214459537921812
27 1102.7425507669447597 997.44592220248262038
27.5 1125.5700203864000741 1017.0454377231908438
28 1149.1845901916633466 1038.1073865825128451
28.5 1166.3455290214783417 1057.5778618167519198
29 1188.0556278181838934 1078.6483968538468616
29.5 1210.7354209191125847 1099.1134232942581548
30 1230.5737913170735283 1115.5480722953498116
30.5 1249.3302256198217037 1133.3724243399160514
31 1272.5143647970469374 1152.6637908801194499
31.5 1295.5829323690495585 1173.7006699090081838
32 1315.7261951943403346 1193.3150844437916476
32.5 1337.6982762159755111 1212.9097190596908149
33 1359.7947782072094469 1233.9569921777278978
33.5 1380.3402681358104473 1254.0558787942597974
34 1401.0123148136137843 1274.7215803709166266
34.5 1421.7490433028794996 1292.5816114895442297
35 1446.6674309398515561 1314.8068394311897009
35.5 1470.979987131806638 1336.3618627184364414
36 1492.5354521472222586 1356.4472163735438244
36.5 1516.1405335800729972 1377.5286946158407773
37 1534.8323756198533374 1397.4121255102529631
37.5 1558.3011670182806938 1419.7589974865481963
38 1581.3791469658519873 1439.8372633716917335
38.5 1604.1294949359394195 1460.5723669612625599
39 1626.5738921270842638 1479.2869620100591419
39.5 1647.5073186926433664 1498.0526543298142315
40 1672.6991749655564945 1520.7081284721689372
40.5 1693.5297289257682678 1539.4689294435581814
41 1714.9917915521286886 1560.8241675620188289
41.5 1735.9536916996194122 1579.1553864238453571
42 1756.3237449467569604 1596.3906583289719947
42.5 1776.5019897549589132 1613.7416873195304561
43 1798.7118438340150988 1633.45876560943816
43.5 1821.3463515759779057 1651.7525459899716225
44 1843.4466572917565372 1670.5808552579751449
44.5 1869.1010696764719796 1693.3542071619958733
45 1893.9972701992976454 1714.0301816175565364
45.5 1915.2964658039256847 1733.078876341862042
46 1935.0514763033615964 1751.3286671512678367
46.5 1954.5679788181782897 1766.2842925719496634
47 1977.7172244867676909 1786.6750872588804668
47.5 2003.5701121074901039 1811.0344637983089342
48 2024.8091389020873976 1831.3055754461886409
48.5 2043.2366149899144148 1847.6741462724669418
49 2071.9030978431796939 1873.3170027743542505
49.5 2093.3701324177259266 1893.5135286191332398
50 2114.1611627423812934 1912.3078299459148184
50.5 2133.010369363746122 1927.6383701795812158
51 2156.4212008793761015 1949.9274881501662549
51.5 2179.0490126705863076 1971.7496780682583903
52 2197.3857263918198441 1986.3692176272484176
52.5 2214.1107977193814804 2000.6586179669839112
53 2238.7639419695174183 2021.1306863964452987
53.5 2255.2641704414636479 2038.2218583563922039
54 2277.8770394268840391 2057.7578696574887545
