# Unity (10 data points):
# Unity Count
0.05 105 
0.15 161 
0.25 151 
0.35 114 
0.45 79 
0.55 86 
0.65 36 
0.75 50 
0.85 118 
0.95 100 
# Unity (10 data points):
# Unity Count
0.05 107 
0.15 148 
0.25 184 
0.35 92 
0.45 76 
0.55 78 
0.65 46 
0.75 42 
0.85 131 
0.95 96 
# Unity (10 data points):
# Unity Count
0.05 92 
0.15 172 
0.25 176 
0.35 97 
0.45 68 
0.55 83 
0.65 40 
0.75 57 
0.85 114 
0.95 101 
# Unity (10 data points):
# Unity Count
0.05 101 
0.15 154 
0.25 171 
0.35 125 
0.45 54 
0.55 89 
0.65 42 
0.75 40 
0.85 119 
0.95 105 
# Unity (10 data points):
# Unity Count
0.05 95 
0.15 154 
0.25 182 
0.35 106 
0.45 86 
0.55 67 
0.65 50 
0.75 43 
0.85 116 
0.95 101 
# Unity (10 data points):
# Unity Count
0.05 95 
0.15 158 
0.25 169 
0.35 122 
0.45 73 
0.55 77 
0.65 44 
0.75 46 
0.85 118 
0.95 98 
# Unity (10 data points):
# Unity Count
0.05 110 
0.15 151 
0.25 166 
0.35 105 
0.45 85 
0.55 73 
0.65 36 
0.75 46 
0.85 130 
0.95 98 
# Unity (10 data points):
# Unity Count
0.05 102 
0.15 167 
0.25 177 
0.35 101 
0.45 73 
0.55 66 
0.65 46 
0.75 47 
0.85 124 
0.95 97 
# Unity (10 data points):
# Unity Count
0.05 86 
0.15 183 
0.25 165 
0.35 107 
0.45 65 
0.55 90 
0.65 35 
0.75 40 
0.85 125 
0.95 104 
# Unity (10 data points):
# Unity Count
0.05 96 
0.15 167 
0.25 175 
0.35 100 
0.45 69 
0.55 81 
0.65 44 
0.75 50 
0.85 119 
0.95 99 
# Unity (10 data points):
# Unity Count
0.05 107 
0.15 154 
0.25 175 
0.35 114 
0.45 66 
0.55 74 
0.65 45 
0.75 46 
0.85 118 
0.95 101 
# Unity (10 data points):
# Unity Count
0.05 111 
0.15 150 
0.25 181 
0.35 89 
0.45 86 
0.55 72 
0.65 49 
0.75 36 
0.85 129 
0.95 97 
# Unity (10 data points):
# Unity Count
0.05 94 
0.15 173 
0.25 173 
0.35 104 
0.45 66 
0.55 75 
0.65 50 
0.75 47 
0.85 127 
0.95 91 
# Unity (10 data points):
# Unity Count
0.05 96 
0.15 168 
0.25 176 
0.35 90 
0.45 88 
0.55 79 
0.65 41 
0.75 35 
0.85 131 
0.95 96 
# Unity (10 data points):
# Unity Count
0.05 97 
0.15 182 
0.25 167 
0.35 91 
0.45 71 
0.55 78 
0.65 44 
0.75 44 
0.85 127 
0.95 99 
# Unity (10 data points):
# Unity Count
