# Unity (10 data points):
# Unity Count
0.05 251 
0.15 155 
0.25 102 
0.35 57 
0.45 33 
0.55 39 
0.65 39 
0.75 51 
0.85 154 
0.95 119 
# Unity (10 data points):
# Unity Count
0.05 239 
0.15 162 
0.25 107 
0.35 46 
0.45 43 
0.55 40 
0.65 37 
0.75 61 
0.85 143 
0.95 122 
# Unity (10 data points):
# Unity Count
0.05 252 
0.15 148 
0.25 104 
0.35 59 
0.45 25 
0.55 47 
0.65 36 
0.75 60 
0.85 146 
0.95 123 
# Unity (10 data points):
# Unity Count
0.05 245 
0.15 146 
0.25 121 
0.35 48 
0.45 33 
0.55 43 
0.65 37 
0.75 55 
0.85 151 
0.95 121 
# Unity (10 data points):
# Unity Count
0.05 238 
0.15 160 
0.25 109 
0.35 55 
0.45 30 
0.55 34 
0.65 45 
0.75 66 
0.85 139 
0.95 124 
# Unity (10 data points):
# Unity Count
0.05 240 
0.15 161 
0.25 111 
0.35 46 
0.45 37 
0.55 41 
0.65 37 
0.75 58 
0.85 146 
0.95 123 
# Unity (10 data points):
# Unity Count
0.05 245 
0.15 147 
0.25 121 
0.35 54 
0.45 27 
0.55 41 
0.65 45 
0.75 51 
0.85 145 
0.95 124 
# Unity (10 data points):
# Unity Count
0.05 253 
0.15 163 
0.25 96 
0.35 42 
0.45 34 
0.55 38 
0.65 49 
0.75 56 
0.85 145 
0.95 124 
# Unity (10 data points):
# Unity Count
0.05 239 
0.15 148 
0.25 125 
0.35 55 
0.45 38 
0.55 28 
0.65 42 
0.75 59 
0.85 143 
0.95 123 
# Unity (10 data points):
# Unity Count
0.05 236 
0.15 172 
0.25 106 
0.35 50 
0.45 32 
0.55 39 
0.65 38 
0.75 52 
0.85 148 
0.95 127 
# Unity (10 data points):
# Unity Count
0.05 233 
0.15 168 
0.25 122 
0.35 43 
0.45 37 
0.55 37 
0.65 31 
0.75 48 
0.85 153 
0.95 128 
# Unity (10 data points):
# Unity Count
0.05 231 
0.15 166 
0.25 113 
0.35 53 
0.45 39 
0.55 37 
0.65 32 
0.75 58 
0.85 145 
0.95 126 
# Unity (10 data points):
# Unity Count
0.05 243 
0.15 165 
0.25 94 
0.35 59 
0.45 35 
0.55 47 
0.65 32 
0.75 50 
0.85 149 
0.95 126 
# Unity (10 data points):
# Unity Count
0.05 236 
0.15 159 
0.25 113 
0.35 47 
0.45 38 
0.55 43 
0.65 40 
0.75 52 
0.85 146 
0.95 126 
# Unity (10 data points):
# Unity Count
0.05 241 
0.15 150 
0.25 112 
0.35 51 
0.45 41 
0.55 43 
0.65 40 
0.75 49 
0.85 154 
0.95 119 
# Unity (10 data points):
# Unity Count
0.05 243 
0.15 145 
0.25 111 
0.35 51 
0.45 37 
0.55 52 
0.65 33 
0.75 48 
0.85 158 
0.95 122 
# Unity (10 data points):
# Unity Count
0.05 243 
0.15 143 
0.25 122 
0.35 46 
0.45 53 
0.55 31 
0.65 28 
0.75 59 
0.85 148 
0.95 127 
# Unity (10 data points):
# Unity Count
0.05 243 
0.15 162 
0.25 100 
0.35 58 
0.45 29 
0.55 37 
0.65 48 
0.75 47 
