# Unity (10 data points):
# Unity Count
0.05 345 
0.15 114 
0.25 65 
0.35 22 
0.45 27 
0.55 40 
0.65 38 
0.75 56 
0.85 166 
0.95 127 
# Unity (10 data points):
# Unity Count
0.05 346 
0.15 109 
0.25 70 
0.35 32 
0.45 21 
0.55 29 
0.65 40 
0.75 50 
0.85 175 
0.95 128 
# Unity (10 data points):
# Unity Count
0.05 345 
0.15 112 
0.25 70 
0.35 33 
0.45 21 
0.55 28 
0.65 36 
0.75 60 
0.85 159 
0.95 136 
# Unity (10 data points):
# Unity Count
0.05 342 
0.15 111 
0.25 71 
0.35 30 
0.45 21 
0.55 31 
0.65 45 
0.75 49 
0.85 169 
0.95 131 
# Unity (10 data points):
# Unity Count
0.05 353 
0.15 108 
0.25 68 
0.35 24 
0.45 22 
0.55 31 
0.65 35 
0.75 57 
0.85 164 
0.95 138 
# Unity (10 data points):
# Unity Count
0.05 338 
0.15 115 
0.25 72 
0.35 30 
0.45 17 
0.55 36 
0.65 48 
0.75 53 
0.85 164 
0.95 127 
# Unity (10 data points):
# Unity Count
0.05 342 
0.15 108 
0.25 76 
0.35 28 
0.45 15 
0.55 43 
0.65 43 
0.75 42 
0.85 177 
0.95 126 
# Unity (10 data points):
# Unity Count
0.05 341 
0.15 116 
0.25 74 
0.35 24 
0.45 21 
0.55 39 
0.65 32 
0.75 55 
0.85 162 
0.95 136 
# Unity (10 data points):
# Unity Count
0.05 348 
0.15 105 
0.25 64 
0.35 30 
0.45 21 
0.55 49 
0.65 41 
0.75 43 
0.85 175 
0.95 124 
# Unity (10 data points):
# Unity Count
0.05 339 
0.15 112 
0.25 74 
0.35 29 
0.45 15 
0.55 44 
0.65 45 
0.75 54 
0.85 156 
0.95 132 
# Unity (10 data points):
# Unity Count
0.05 346 
0.15 130 
0.25 48 
0.35 16 
0.45 24 
0.55 47 
0.65 43 
0.75 46 
0.85 167 
0.95 133 
# Unity (10 data points):
# Unity Count
0.05 337 
0.15 115 
0.25 68 
0.35 37 
0.45 15 
0.55 37 
0.65 42 
0.75 59 
0.85 148 
0.95 142 
# Unity (10 data points):
# Unity Count
0.05 343 
0.15 113 
0.25 65 
0.35 29 
0.45 21 
0.55 36 
0.65 39 
0.75 61 
0.85 163 
0.95 130 
# Unity (10 data points):
# Unity Count
0.05 330 
0.15 138 
0.25 62 
0.35 22 
