# Unity (10 data points):
# Unity Count
0.05 190 
0.15 193 
0.25 115 
0.35 54 
0.45 37 
0.55 60 
0.65 44 
0.75 51 
0.85 139 
0.95 117 
# Unity (10 data points):
# Unity Count
0.05 198 
0.15 163 
0.25 131 
0.35 59 
0.45 41 
0.55 62 
0.65 40 
0.75 53 
0.85 137 
0.95 116 
# Unity (10 data points):
# Unity Count
0.05 205 
0.15 169 
0.25 123 
0.35 61 
0.45 32 
0.55 68 
0.65 41 
0.75 45 
0.85 135 
0.95 121 
# Unity (10 data points):
# Unity Count
0.05 208 
0.15 150 
0.25 142 
0.35 40 
0.45 52 
0.55 59 
0.65 37 
0.75 59 
0.85 128 
0.95 125 
# Unity (10 data points):
# Unity Count
0.05 215 
0.15 151 
0.25 131 
0.35 41 
0.45 48 
0.55 65 
0.65 46 
0.75 42 
0.85 146 
0.95 115 
# Unity (10 data points):
# Unity Count
0.05 211 
0.15 172 
0.25 110 
0.35 51 
0.45 41 
0.55 60 
0.65 41 
0.75 51 
0.85 152 
0.95 111 
# Unity (10 data points):
# Unity Count
0.05 210 
0.15 153 
0.25 121 
0.35 66 
0.45 44 
0.55 53 
0.65 41 
0.75 58 
0.85 139 
0.95 115 
# Unity (10 data points):
# Unity Count
0.05 210 
0.15 157 
0.25 121 
0.35 57 
0.45 41 
0.55 63 
0.65 37 
0.75 57 
0.85 140 
0.95 117 
# Unity (10 data points):
# Unity Count
0.05 212 
0.15 157 
0.25 120 
0.35 57 
0.45 53 
0.55 46 
0.65 46 
0.75 58 
0.85 131 
0.95 120 
# Unity (10 data points):
# Unity Count
0.05 222 
0.15 153 
0.25 123 
0.35 54 
0.45 35 
0.55 59 
0.65 39 
0.75 57 
0.85 138 
0.95 120 
# Unity (10 data points):
# Unity Count
0.05 219 
0.15 152 
0.25 123 
0.35 50 
0.45 48 
0.55 59 
0.65 46 
0.75 43 
0.85 140 
0.95 120 
# Unity (10 data points):
# Unity Count
0.05 222 
0.15 152 
0.25 111 
0.35 67 
0.45 41 
0.55 57 
0.65 38 
0.75 58 
0.85 130 
0.95 124 
# Unity (10 data points):
# Unity Count
0.05 214 
0.15 168 
0.25 106 
0.35 64 
0.45 32 
0.55 52 
0.65 53 
0.75 55 
0.85 135 
0.95 121 
# Unity (10 data points):
# Unity Count
0.05 210 
0.15 159 
0.25 141 
0.35 39 
0.45 44 
0.55 55 
0.65 46 
0.75 54 
0.85 141 
0.95 111 
# Unity (10 data points):
# Unity Count
0.05 207 
0.15 162 
0.25 133 
0.35 49 
0.45 36 
0.55 61 
0.65 38 
0.75 49 
0.85 159 
0.95 106 
# Unity (10 data points):
# Unity Count
0.05 212 
0.15 158 
0.25 116 
0.35 62 
0.45 46 
0.55 51 
0.65 49 
0.75 56 
0.85 129 
0.95 121 
# Unity (10 data points):
# Unity Count
0.05 205 
0.15 168 
0.25 118 
0.35 60 
0.45 31 
0.55 65 
0.65 46 
0.75 50 
0.85 140 
0.95 117 
# Unity (10 data points):
# Unity Count
0.05 204 
0.15 164 
0.25 118 
0.35 70 
0.45 37 
0.55 53 
0.65 42 
0.75 59 
0.85 130 
0.95 123 
# Unity (10 data points):
# Unity Count
0.05 209 
0.15 176 
0.25 111 
0.35 49 
0.45 43 
0.55 53 
0.65 44 
0.75 56 
0.85 149 
0.95 110 
# Unity (10 data points):
# Unity Count
0.05 216 
0.15 154 
0.25 127 
0.35 48 
0.45 47 
0.55 58 
0.65 39 
0.75 50 
0.85 145 
0.95 116 
# Unity (10 data points):
# Unity Count
0.05 206 
0.15 161 
0.25 132 
0.35 56 
0.45 35 
0.55 52 
0.65 50 
0.75 56 
0.85 137 
0.95 115 
# Unity (10 data points):
# Unity Count
0.05 220 
0.15 160 
0.25 107 
0.35 64 
0.45 43 
0.55 54 
0.65 39 
0.75 52 
0.85 140 
0.95 121 
# Unity (10 data points):
# Unity Count
0.05 220 
0.15 154 
0.25 118 
0.35 55 
0.45 49 
0.55 52 
0.65 42 
0.75 52 
0.85 141 
0.95 117 
# Unity (10 data points):
# Unity Count
0.05 227 
0.15 146 
0.25 117 
0.35 60 
0.45 33 
0.55 59 
0.65 43 
0.75 56 
0.85 144 
0.95 115 
# Unity (10 data points):
# Unity Count
0.05 214 
0.15 158 
0.25 113 
0.35 57 
0.45 45 
0.55 63 
0.65 39 
0.75 52 
0.85 131 
0.95 128 
# Unity (10 data points):
# Unity Count
0.05 222 
0.15 154 
0.25 102 
0.35 63 
0.45 52 
0.55 56 
0.65 38 
0.75 50 
0.85 144 
0.95 119 
# Unity (10 data points):
# Unity Count
0.05 216 
0.15 166 
0.25 113 
0.35 52 
0.45 38 
0.55 66 
0.65 40 
0.75 43 
0.85 148 
0.95 118 
# Unity (10 data points):
# Unity Count
0.05 225 
0.15 145 
0.25 118 
0.35 66 
0.45 28 
0.55 58 
0.65 60 
0.75 43 
0.85 139 
0.95 118 
# Unity (10 data points):
# Unity Count
0.05 212 
0.15 158 
0.25 117 
0.35 67 
