# Unity (10 data points):
# Unity Count
0.05 14 
0.15 30 
0.25 122 
0.35 146 
0.45 174 
0.55 302 
0.65 96 
0.75 54 
0.85 35 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 53 
0.25 113 
0.35 163 
0.45 163 
0.55 279 
0.65 94 
0.75 57 
0.85 47 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 51 
0.25 113 
0.35 161 
0.45 160 
0.55 290 
0.65 101 
0.75 42 
0.85 48 
0.95 28 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 48 
0.25 114 
0.35 141 
0.45 170 
0.55 307 
0.65 95 
0.75 56 
0.85 37 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 42 
0.25 113 
0.35 169 
0.45 170 
0.55 271 
0.65 99 
0.75 63 
0.85 36 
0.95 28 
# Unity (10 data points):
# Unity Count
0.05 12 
0.15 44 
0.25 111 
0.35 164 
0.45 165 
0.55 276 
0.65 112 
0.75 52 
0.85 38 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 11 
0.15 53 
0.25 123 
0.35 134 
0.45 159 
0.55 293 
0.65 114 
0.75 45 
0.85 47 
0.95 21 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 47 
0.25 111 
0.35 159 
0.45 167 
0.55 286 
0.65 115 
0.75 48 
0.85 34 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 46 
0.25 122 
0.35 152 
0.45 155 
0.55 298 
0.65 96 
0.75 51 
0.85 38 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 36 
0.25 120 
0.35 159 
0.45 170 
0.55 275 
0.65 110 
0.75 50 
0.85 36 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 35 
0.25 132 
0.35 158 
0.45 170 
0.55 263 
0.65 112 
0.75 52 
0.85 47 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 11 
0.15 37 
0.25 123 
0.35 154 
0.45 166 
0.55 285 
0.65 112 
0.75 51 
0.85 31 
0.95 30 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 36 
0.25 120 
0.35 159 
0.45 175 
0.55 269 
0.65 104 
0.75 50 
0.85 47 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 16 
0.15 46 
0.25 118 
0.35 144 
0.45 156 
0.55 290 
0.65 101 
0.75 58 
0.85 49 
0.95 22 
# Unity (10 data points):
# Unity Count
0.05 4 
0.15 50 
0.25 117 
0.35 149 
0.45 175 
0.55 277 
0.65 109 
0.75 53 
0.85 41 
0.95 25 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 40 
0.25 120 
0.35 158 
0.45 179 
0.55 273 
0.65 98 
0.75 52 
0.85 45 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 42 
0.25 131 
0.35 163 
0.45 144 
0.55 274 
0.65 118 
0.75 56 
0.85 33 
0.95 30 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 49 
0.25 126 
0.35 131 
0.45 169 
0.55 291 
0.65 96 
0.75 56 
0.85 44 
0.95 25 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 49 
0.25 121 
0.35 140 
0.45 170 
0.55 291 
0.65 105 
0.75 46 
0.85 37 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 15 
0.15 34 
0.25 129 
0.35 153 
0.45 176 
0.55 259 
0.65 112 
0.75 55 
0.85 36 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 54 
0.25 113 
0.35 148 
0.45 168 
0.55 284 
0.65 105 
0.75 46 
0.85 41 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 16 
0.15 49 
0.25 121 
0.35 154 
0.45 166 
0.55 268 
0.65 104 
0.75 56 
0.85 30 
0.95 36 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 52 
0.25 127 
0.35 143 
0.45 171 
0.55 270 
0.65 102 
0.75 60 
0.85 32 
0.95 36 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 50 
0.25 125 
0.35 150 
0.45 168 
0.55 263 
0.65 110 
0.75 48 
0.85 54 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 5 
0.15 55 
0.25 113 
0.35 150 
0.45 193 
0.55 259 
0.65 105 
0.75 50 
0.85 43 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 15 
0.15 44 
0.25 126 
0.35 149 
0.45 158 
0.55 275 
0.65 106 
0.75 45 
0.85 57 
0.95 25 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 40 
0.25 121 
0.35 161 
0.45 168 
0.55 277 
0.65 102 
0.75 42 
0.85 51 
0.95 28 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 44 
0.25 122 
0.35 156 
0.45 164 
0.55 285 
0.65 113 
0.75 41 
0.85 35 
0.95 33 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 48 
0.25 116 
0.35 158 
0.45 172 
0.55 265 
0.65 99 
0.75 58 
0.85 39 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 18 
0.15 48 
0.25 104 
0.35 153 
0.45 170 
0.55 262 
0.65 119 
0.75 61 
0.85 32 
0.95 33 
# Unity (10 data points):
# Unity Count
0.05 5 
0.15 45 
0.25 126 
0.35 166 
0.45 163 
0.55 274 
0.65 103 
0.75 51 
0.85 30 
0.95 37 
# Unity (10 data points):
# Unity Count
0.05 8 
0.15 48 
0.25 126 
0.35 145 
0.45 182 
0.55 255 
0.65 118 
0.75 47 
0.85 42 
0.95 29 
# Unity (10 data points):
# Unity Count
0.05 12 
0.15 41 
0.25 113 
0.35 150 
0.45 203 
0.55 264 
0.65 89 
0.75 56 
0.85 41 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 11 
0.15 45 
0.25 128 
0.35 152 
0.45 172 
0.55 264 
0.65 101 
0.75 58 
0.85 39 
0.95 30 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 38 
0.25 146 
0.35 150 
0.45 165 
0.55 276 
0.65 102 
0.75 48 
0.85 39 
0.95 29 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 39 
0.25 133 
0.35 157 
0.45 150 
0.55 286 
0.65 107 
0.75 51 
0.85 41 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 52 
0.25 116 
0.35 148 
0.45 163 
0.55 276 
0.65 125 
0.75 47 
0.85 39 
0.95 25 
# Unity (10 data points):
# Unity Count
0.05 8 
0.15 38 
0.25 120 
0.35 160 
0.45 181 
0.55 262 
0.65 122 
0.75 47 
0.85 30 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 5 
0.15 48 
0.25 126 
0.35 143 
0.45 172 
0.55 278 
0.65 115 
0.75 56 
0.85 33 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 44 
0.25 140 
0.35 148 
0.45 138 
0.55 282 
0.65 116 
0.75 55 
0.85 44 
0.95 23 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 52 
0.25 122 
0.35 140 
0.45 170 
0.55 278 
0.65 110 
0.75 52 
0.85 38 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 52 
0.25 115 
0.35 159 
0.45 160 
0.55 280 
0.65 123 
0.75 39 
0.85 46 
0.95 19 
# Unity (10 data points):
# Unity Count
0.05 14 
0.15 47 
0.25 107 
0.35 135 
0.45 178 
0.55 301 
0.65 110 
0.75 46 
0.85 37 
0.95 25 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 56 
0.25 119 
0.35 140 
0.45 171 
0.55 272 
0.65 118 
0.75 51 
0.85 36 
0.95 28 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 43 
0.25 106 
0.35 164 
0.45 178 
0.55 273 
0.65 102 
0.75 57 
0.85 44 
0.95 23 
# Unity (10 data points):
# Unity Count
0.05 3 
0.15 45 
0.25 132 
0.35 146 
0.45 148 
0.55 305 
0.65 111 
0.75 50 
0.85 30 
0.95 30 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 50 
0.25 125 
0.35 146 
0.45 162 
0.55 267 
0.65 125 
0.75 50 
0.85 35 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 49 
0.25 124 
0.35 160 
0.45 156 
0.55 277 
0.65 103 
0.75 50 
0.85 33 
0.95 39 
# Unity (10 data points):
# Unity Count
0.05 7 
0.15 46 
0.25 115 
0.35 168 
0.45 179 
0.55 259 
0.65 105 
0.75 46 
0.85 51 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 41 
0.25 136 
0.35 151 
0.45 157 
0.55 277 
0.65 113 
0.75 43 
0.85 41 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 12 
0.15 42 
0.25 118 
0.35 166 
0.45 159 
0.55 278 
0.65 96 
0.75 64 
0.85 39 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 12 
0.15 37 
0.25 126 
0.35 160 
0.45 152 
0.55 286 
0.65 108 
0.75 55 
0.85 40 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 41 
0.25 124 
0.35 156 
0.45 154 
0.55 291 
0.65 109 
0.75 48 
0.85 38 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 43 
0.25 119 
0.35 163 
0.45 172 
0.55 253 
0.65 105 
0.75 57 
0.85 48 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 15 
0.15 51 
0.25 126 
0.35 131 
0.45 167 
0.55 278 
0.65 116 
0.75 50 
0.85 39 
0.95 27 
# Unity (10 data points):
# Unity Count
0.05 8 
0.15 49 
0.25 125 
0.35 140 
0.45 168 
0.55 280 
0.65 106 
0.75 60 
0.85 44 
0.95 20 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 29 
0.25 119 
0.35 144 
0.45 185 
0.55 298 
0.65 98 
0.75 54 
0.85 38 
0.95 22 
# Unity (10 data points):
# Unity Count
0.05 8 
0.15 48 
0.25 113 
0.35 152 
0.45 189 
0.55 255 
0.65 106 
0.75 57 
0.85 55 
0.95 17 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 51 
0.25 132 
0.35 148 
0.45 146 
0.55 287 
0.65 92 
0.75 72 
0.85 40 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 8 
0.15 46 
0.25 120 
0.35 177 
0.45 151 
0.55 260 
0.65 120 
0.75 47 
0.85 38 
0.95 33 
# Unity (10 data points):
# Unity Count
0.05 12 
0.15 36 
0.25 127 
0.35 157 
0.45 168 
0.55 287 
0.65 98 
0.75 42 
0.85 44 
0.95 29 
# Unity (10 data points):
# Unity Count
0.05 11 
0.15 42 
0.25 118 
0.35 150 
0.45 170 
0.55 291 
0.65 96 
0.75 55 
0.85 33 
0.95 34 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 41 
0.25 131 
0.35 165 
0.45 159 
0.55 263 
0.65 102 
0.75 61 
0.85 37 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 55 
0.25 116 
0.35 150 
0.45 177 
0.55 267 
0.65 102 
0.75 53 
0.85 42 
0.95 29 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 42 
0.25 106 
0.35 167 
0.45 187 
0.55 270 
0.65 97 
0.75 47 
0.85 50 
0.95 24 
# Unity (10 data points):
# Unity Count
0.05 14 
0.15 45 
0.25 118 
0.35 176 
0.45 163 
0.55 254 
0.65 98 
0.75 60 
0.85 41 
0.95 31 
# Unity (10 data points):
# Unity Count
0.05 11 
0.15 45 
0.25 134 
0.35 161 
0.45 147 
0.55 272 
0.65 101 
0.75 60 
0.85 36 
0.95 33 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 49 
0.25 121 
0.35 157 
0.45 172 
0.55 274 
0.65 99 
0.75 52 
0.85 44 
0.95 26 
# Unity (10 data points):
# Unity Count
0.05 17 
0.15 47 
0.25 109 
0.35 148 
0.45 176 
0.55 290 
0.65 98 
0.75 42 
0.85 44 
0.95 29 
# Unity (10 data points):
# Unity Count
0.05 10 
0.15 46 
0.25 125 
0.35 154 
0.45 170 
0.55 270 
0.65 95 
0.75 52 
0.85 44 
0.95 34 
# Unity (10 data points):
# Unity Count
0.05 9 
0.15 47 
0.25 106 
0.35 176 
0.45 163 
0.55 269 
0.65 105 
0.75 52 
0.85 40 
0.95 33 
# Unity (10 data points):
# Unity Count
0.05 13 
0.15 45 
0.25 132 
0.35 147 
0.45 161 
0.55 278 
0.65 94 
0.75 58 
0.85 40 
0.95 32 
# Unity (10 data points):
# Unity Count
0.05 6 
0.15 58 
0.25 118 
0.35 158 
0.45 168 
0.55 255 
0.65 108 
0.75 60 
0.85 33 
