# Unity (10 data points):
# Unity Count
0.05 89 
0.15 164 
0.25 194 
0.35 126 
0.45 93 
0.55 90 
0.65 31 
0.75 21 
0.85 36 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 92 
0.15 141 
0.25 210 
0.35 110 
0.45 103 
0.55 96 
0.65 31 
0.75 24 
0.85 39 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 94 
0.15 140 
0.25 197 
0.35 145 
0.45 90 
0.55 95 
0.65 26 
0.75 21 
0.85 30 
0.95 162 
# Unity (10 data points):
# Unity Count
0.05 98 
0.15 158 
0.25 188 
0.35 111 
0.45 99 
0.55 91 
0.65 36 
0.75 28 
0.85 39 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 89 
0.15 143 
0.25 206 
0.35 120 
0.45 92 
0.55 102 
0.65 31 
0.75 29 
0.85 32 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 86 
0.15 149 
0.25 199 
0.35 129 
0.45 95 
0.55 96 
0.65 32 
0.75 22 
0.85 34 
0.95 158 
# Unity (10 data points):
# Unity Count
0.05 101 
0.15 140 
0.25 187 
0.35 124 
0.45 104 
0.55 98 
0.65 38 
0.75 16 
0.85 40 
0.95 152 
# Unity (10 data points):
# Unity Count
0.05 83 
0.15 176 
0.25 167 
0.35 121 
0.45 92 
0.55 108 
0.65 39 
0.75 31 
0.85 27 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 93 
0.15 136 
0.25 187 
0.35 142 
0.45 109 
0.55 88 
0.65 36 
0.75 25 
0.85 24 
0.95 160 
# Unity (10 data points):
# Unity Count
0.05 83 
0.15 151 
0.25 178 
0.35 153 
0.45 99 
0.55 91 
0.65 33 
0.75 27 
0.85 29 
0.95 156 
# Unity (10 data points):
# Unity Count
0.05 80 
0.15 152 
0.25 191 
0.35 130 
0.45 115 
0.55 94 
0.65 24 
0.75 26 
0.85 34 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 86 
0.15 153 
0.25 185 
0.35 119 
0.45 110 
0.55 109 
0.65 26 
0.75 24 
0.85 31 
0.95 157 
# Unity (10 data points):
# Unity Count
0.05 86 
0.15 141 
0.25 205 
0.35 132 
0.45 97 
0.55 91 
0.65 30 
0.75 27 
0.85 36 
0.95 155 
# Unity (10 data points):
# Unity Count
0.05 85 
0.15 140 
0.25 201 
0.35 133 
0.45 106 
0.55 92 
0.65 33 
0.75 24 
0.85 32 
0.95 154 
# Unity (10 data points):
# Unity Count
0.05 85 
0.15 140 
0.25 181 
0.35 146 
0.45 110 
0.55 92 
0.65 30 
0.75 31 
0.85 25 
0.95 160 
# Unity (10 data points):
# Unity Count
0.05 71 
0.15 159 
0.25 198 
0.35 123 
0.45 102 
0.55 100 
0.65 39 
0.75 27 
0.85 31 
0.95 150 
# Unity (10 data points):
# Unity Count
0.05 86 
0.15 144 
0.25 193 
0.35 133 
0.45 98 
0.55 97 
0.65 34 
0.75 33 
0.85 31 
0.95 151 
# Unity (10 data points):
# Unity Count
0.05 80 
0.15 156 
0.25 180 
0.35 134 
0.45 90 
0.55 102 
0.65 50 
0.75 21 
0.85 34 
0.95 153 
# Unity (10 data points):
# Unity Count
0.05 81 
0.15 135 
0.25 185 
0.35 149 
0.45 112 
0.55 99 
0.65 25 
0.75 26 
0.85 39 
0.95 149 
# Unity (10 data points):
# Unity Count
0.05 78 
0.15 140 
0.25 207 
0.35 129 
0.45 104 
0.55 97 
0.65 33 
0.75 27 
0.85 30 
0.95 155 
# Unity (10 data points):
# Unity Count
0.05 90 
0.15 147 
0.25 186 
0.35 120 
0.45 104 
0.55 104 
0.65 38 
0.75 25 
