# Structure counts (9 data points):
# "Structure type" Count
Other 3424 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2041 
"Cubic diamond" 2535 
# Structure counts (9 data points):
# "Structure type" Count
Other 1645 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2685 
"Cubic diamond" 3670 
# Structure counts (9 data points):
# "Structure type" Count
Other 1198 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2217 
"Cubic diamond" 4585 
# Structure counts (9 data points):
# "Structure type" Count
Other 1104 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1713 
"Cubic diamond" 5183 
# Structure counts (9 data points):
# "Structure type" Count
Other 828 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 703 
"Cubic diamond" 6469 
# Structure counts (9 data points):
# "Structure type" Count
Other 186 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3 
"Cubic diamond" 7811 
# Structure counts (9 data points):
# "Structure type" Count
Other 156 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7839 
# Structure counts (9 data points):
# "Structure type" Count
Other 163 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2 
"Cubic diamond" 7835 
# Structure counts (9 data points):
# "Structure type" Count
Other 153 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7842 
# Structure counts (9 data points):
# "Structure type" Count
Other 147 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 6 
"Cubic diamond" 7847 
# Structure counts (9 data points):
# "Structure type" Count
Other 156 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 4 
"Cubic diamond" 7840 
