# Structure counts (9 data points):
# "Structure type" Count
Other 3424 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2041 
"Cubic diamond" 2535 
# Structure counts (9 data points):
# "Structure type" Count
Other 1632 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2646 
"Cubic diamond" 3722 
# Structure counts (9 data points):
# "Structure type" Count
Other 1158 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2215 
"Cubic diamond" 4627 
# Structure counts (9 data points):
# "Structure type" Count
Other 1081 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1844 
"Cubic diamond" 5075 
# Structure counts (9 data points):
# "Structure type" Count
Other 856 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 848 
"Cubic diamond" 6296 
# Structure counts (9 data points):
# "Structure type" Count
Other 232 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 8 
"Cubic diamond" 7760 
# Structure counts (9 data points):
# "Structure type" Count
Other 181 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3 
"Cubic diamond" 7816 
# Structure counts (9 data points):
# "Structure type" Count
Other 194 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 6 
"Cubic diamond" 7800 
# Structure counts (9 data points):
# "Structure type" Count
Other 194 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 7 
"Cubic diamond" 7799 
# Structure counts (9 data points):
# "Structure type" Count
Other 194 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 6 
"Cubic diamond" 7800 
# Structure counts (9 data points):
# "Structure type" Count
Other 170 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 8 
"Cubic diamond" 7822 
