# Structure counts (9 data points):
# "Structure type" Count
Other 3424 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2041 
"Cubic diamond" 2535 
# Structure counts (9 data points):
# "Structure type" Count
Other 1647 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2625 
"Cubic diamond" 3728 
# Structure counts (9 data points):
# "Structure type" Count
Other 1214 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1984 
"Cubic diamond" 4802 
# Structure counts (9 data points):
# "Structure type" Count
Other 846 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 932 
"Cubic diamond" 6222 
# Structure counts (9 data points):
# "Structure type" Count
Other 253 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7742 
# Structure counts (9 data points):
# "Structure type" Count
Other 205 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3 
"Cubic diamond" 7792 
# Structure counts (9 data points):
# "Structure type" Count
Other 194 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 9 
"Cubic diamond" 7797 
# Structure counts (9 data points):
# "Structure type" Count
Other 187 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 7 
"Cubic diamond" 7806 
# Structure counts (9 data points):
# "Structure type" Count
Other 198 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 9 
"Cubic diamond" 7793 
# Structure counts (9 data points):
# "Structure type" Count
Other 205 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 4 
"Cubic diamond" 7791 
# Structure counts (9 data points):
# "Structure type" Count
Other 200 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 8 
"Cubic diamond" 7792 
